Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,23.5,-105,-115,Game 69,29,Over
Boston Celtics,59.0,-115,-105,Game 61,49,Under
Brooklyn Nets,32.0,-115,-105,Game 66,42,Over
Charlotte Hornets,35.5,-150,130,Game 78,39,Over
Chicago Bulls,30.0,110,-130,Game 74,22,Under
Cleveland Cavaliers,30.5,-130,110,Game 69,19,Under
Dallas Mavericks,35.5,-105,-115,Game 78,33,Under
Denver Nuggets,47.5,-120,100,Game 70,54,Over
Detroit Pistons,38.5,-120,100,Game 76,41,Over
Golden State Warriors,62.5,-115,-105,Game 64,57,Under
Houston Rockets,56.5,-115,-105,Game 68,53,Under
Indiana Pacers,47.5,-105,-115,Game 82,48,Over
Los Angeles Clippers,37.0,100,-120,Game 67,48,Over
Los Angeles Lakers,48.5,-120,100,Game 64,37,Under
Memphis Grizzlies,34.5,-105,-115,Game 80,33,Under
Miami Heat,43.0,-105,-115,Game 77,39,Under
Milwaukee Bucks,48.0,-140,120,Game 65,60,Over
Minnesota Timberwolves,41.5,-120,100,Game 74,36,Under
New Orleans Pelicans,45.5,-105,-115,Game 67,33,Under
New York Knicks,28.5,115,-135,Game 67,17,Under
Oklahoma City Thunder,48.5,-115,-105,Game 82,49,Over
Orlando Magic,31.0,-105,-115,Game 70,42,Over
Philadelphia 76ers,53.5,-105,-115,Game 78,51,Under
Phoenix Suns,29.0,-110,-110,Game 70,19,Under
Portland Trail Blazers,42.0,-130,110,Game 70,53,Over
Sacramento Kings,26.0,-105,-115,Game 52,39,Over
San Antonio Spurs,43.5,100,-120,Game 76,48,Over
Toronto Raptors,55.5,-125,105,Game 79,58,Over
Utah Jazz,49.5,-160,140,Game 81,50,Over
Washington Wizards,45.5,-110,-110,Game 62,32,Under
