Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,25.5,-140,120,Game 79,24,Under
Boston Celtics,53.5,-125,105,Game 79,55,Over
Brooklyn Nets,27.5,-120,100,Game 81,28,Over
Charlotte Hornets,42.5,-110,-110,Game 70,36,Under
Chicago Bulls,22.0,-125,105,Game 66,27,Over
Cleveland Cavaliers,53.5,-140,120,Game 68,50,Under
Dallas Mavericks,35.5,110,-130,Game 69,24,Under
Denver Nuggets,45.5,-120,100,Game 81,46,Over
Detroit Pistons,38.5,120,-140,Game 82,39,Over
Golden State Warriors,67.5,110,-130,Game 66,58,Under
Houston Rockets,55.5,-110,-110,Game 70,65,Over
Indiana Pacers,31.5,-135,115,Game 57,48,Over
Los Angeles Clippers,43.5,-140,120,Game 81,42,Under
Los Angeles Lakers,33.5,125,-145,Game 78,35,Over
Memphis Grizzlies,37.5,-125,105,Game 63,22,Under
Miami Heat,43.5,-145,125,Game 82,44,Over
Milwaukee Bucks,47.5,125,-145,Game 74,44,Under
Minnesota Timberwolves,48.5,130,-150,Game 78,47,Under
New Orleans Pelicans,39.5,-110,-110,Game 70,48,Over
New York Knicks,30.5,145,-165,Game 80,29,Under
Oklahoma City Thunder,53.5,-120,100,Game 66,48,Under
Orlando Magic,33.5,-105,-115,Game 70,25,Under
Philadelphia 76ers,39.5,100,-120,Game 70,52,Over
Phoenix Suns,28.5,-115,-105,Game 72,21,Under
Portland Trail Blazers,42.5,-140,120,Game 69,49,Over
Sacramento Kings,27.5,-130,110,Game 81,27,Under
San Antonio Spurs,55.0,130,-150,Game 65,47,Under
Toronto Raptors,48.5,120,-140,Game 66,59,Over
Utah Jazz,40.5,-120,100,Game 72,48,Over
Washington Wizards,48.5,-150,130,Game 75,43,Under
