Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,46.5,-125,105,Game 71,41,Under
Boston Celtics,54.5,110,-130,Game 81,57,Over
Brooklyn Nets,50.5,-115,-105,Game 71,45,Under
Charlotte Hornets,34.5,125,-155,Game 70,27,Under
Chicago Bulls,41.5,-125,105,Game 79,40,Under
Cleveland Cavaliers,46.5,-125,105,Game 75,51,Over
Dallas Mavericks,48.5,-110,-110,Game 68,38,Under
Denver Nuggets,51.5,-110,-110,Game 78,53,Over
Detroit Pistons,29.5,-130,110,Game 68,17,Under
Golden State Warriors,52.5,-110,-110,Game 59,44,Under
Houston Rockets,23.5,-115,-105,Game 77,22,Under
Indiana Pacers,24.5,100,-130,Game 54,35,Over
Los Angeles Clippers,52.5,-115,-105,Game 63,44,Under
Los Angeles Lakers,44.5,110,-135,Game 75,43,Under
Memphis Grizzlies,49.5,-110,-110,Game 79,51,Over
Miami Heat,49.5,105,-125,Game 69,44,Under
Milwaukee Bucks,53.5,-110,-110,Game 75,58,Over
Minnesota Timberwolves,49.5,-110,-110,Gmae 67,42,Under
New Orleans Pelicans,45.5,-120,100,Game 70,42,Under
New York Knicks,38.5,-110,-110,Game 66,47,Over
Oklahoma City Thunder,23.5,-115,-105,Game 49,40,Over
Orlando Magic,26.5,-120,100,Game 64,34,Over
Philadelphia 76ers,50.5,-135,110,Game 77,54,Over
Phoenix Suns,52.5,100,-120,Game 67,45,Under
Portland Trail Blazers,39.5,105,-125,Game 75,33,Under
Sacramento Kings,34.5,-120,100,Game 60,48,Over
San Antonio Spurs,22.5,100,-120,Game 81,22,Under
Toronto Raptors,46.5,-115,-105,Game 68,41,Under
Utah Jazz,23.5,-115,-105,Game 48,37,Over
Washington Wizards,35.5,-110,-110,Game 82,35,Under
