Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,49.5,-120,100,Game 81,48,Under
Boston Celtics,45.5,110,-130,Game 78,48,Over
Brooklyn Nets,27.5,110,-130,Game 76,21,Under
Charlotte Hornets,34.0,-145,125,Game 63,48,Over
Chicago Bulls,50.5,110,-130,Game 64,42,Under
Cleveland Cavaliers,56.5,105,-125,Game 81,57,Over
Dallas Mavericks,36.5,100,-120,Game 75,42,Over
Denver Nuggets,27.5,-120,100,Game 66,33,Over
Detroit Pistons,36.5,-125,105,Game 71,44,Over
Golden State Warriors,59.5,100,-120,Game 66,73,Over
Houston Rockets,56.5,-110,-110,Game 53,41,Under
Indiana Pacers,41.5,100,-120,Game 78,45,Over
Los Angeles Clippers,56.5,-120,100,Game 69,53,Under
Los Angeles Lakers,28.5,110,-130,Game 68,17,Under
Memphis Grizzlies,50.5,-115,-105,Game 73,42,Under
Miami Heat,46.5,-140,120,Game 80,48,Over
Milwaukee Bucks,42.5,-125,105,Game 70,33,Under
Minnesota Timberwolves,27.5,-125,105,Game 80,29,Over
New Orleans Pelicans,45.0,-145,125,Game 61,30,Under
New York Knicks,29.5,-130,110,Game 73,32,Over
Oklahoma City Thunder,57.5,100,-120,Game 79,55,Under
Orlando Magic,34.5,-105,-115,Game 81,35,Over
Philadelphia 76ers,20.5,-150,130,Game 71,10,Under
Phoenix Suns,36.5,-125,105,Game 61,23,Under
Portland Trail Blazers,28.5,-120,100,Game 56,44,Over
Sacramento Kings,36.0,-125,105,Game 78,33,Under
San Antonio Spurs,56.5,-115,-105,Game 67,67,Over
Toronto Raptors,46.5,-125,105,Game 68,56,Over
Utah Jazz,42.5,-135,115,Game 79,40,Under
Washington Wizards,45.5,-145,125,Game 72,41,Under
