Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,47.5,-110,-110,Game 69,43,Under
Boston Celtics,45.5,-120,100,Game 74,51,Over
Brooklyn Nets,56.5,105,-125,Game 55,44,Under
Charlotte Hornets,38.5,-110,-110,Game 75,43,Over
Chicago Bulls,42.5,-115,-105,Game 74,46,Over
Cleveland Cavaliers,26.5,-105,-115,Game 45,44,Over
Dallas Mavericks,48.5,-105,-115,Game 79,52,Over
Denver Nuggets,47.5,-120,100,Game 81,48,Over
Detroit Pistons,24.5,-120,100,Game 81,23,Under
Golden State Warriors,48.5,-110,-110,Game 78,53,Over
Houston Rockets,27.5,110,-130,Game 73,20,Under
Indiana Pacers,42.5,-115,-105,Game 59,25,Under
Los Angeles Clippers,45.5,-105,-115,Game 73,42,Under
Los Angeles Lakers,52.5,-110,-110,Game 56,33,Under
Memphis Grizzlies,41.5,-120,100,Game 62,56,Over
Miami Heat,48.5,-110,-110,Game 77,53,Over
Milwaukee Bucks,54.5,-115,-105,Game 74,51,Under
Minnesota Timberwolves,35.5,-110,-110,Game 65,46,Over
New Orleans Pelicans,39.5,-110,-110,Game 74,36,Under
New York Knicks,41.5,-140,115,Game 71,37,Under
Oklahoma City Thunder,23.5,-105,-115,Game 79,24,Over
Orlando Magic,22.5,-110,-110,Game 81,22,Under
Philadelphia 76ers,50.5,-105,-115,Game 82,51,Over
Phoenix Suns,51.5,-125,105,Game 65,64,Over
Portland Trail Blazers,44.5,-110,-110,Game 63,27,Under
Sacramento Kings,36.5,-105,-115,Game 71,30,Under
San Antonio Spurs,28.5,-140,115,Game 73,34,Over
Toronto Raptors,35.5,-120,100,Game 66,48,Over
Utah Jazz,52.5,-110,-110,Game 75,49,Under
Washington Wizards,33.5,-125,105,Game 77,35,Over
