Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,42.5,-125,105,Game 74,36,Under
Boston Celtics,54.5,-115,-105,Game 69,64,Over
Brooklyn Nets,37.5,-110,-110,Game 71,32,Under
Charlotte Hornets,31.5,-115,-105,Game 68,21,Under
Chicago Bulls,37.5,-115,-105,Game 80,39,Over
Cleveland Cavaliers,50.5,-120,100,Game 78,48,Under
Dallas Mavericks,45.5,100,-120,Game 76,50,Over
Denver Nuggets,52.5,-110,-110,Game 76,57,Over
Detroit Pistons,28.5,-105,-115,Game 66,14,Under
Golden State Warriors,48.5,100,-120,Game 70,46,Under
Houston Rockets,31.5,-115,-105,Game 67,41,Over
Indiana Pacers,38.5,-115,-105,Game 70,47,Over
Los Angeles Clippers,46.5,-110,-110,Game 73,51,Over
Los Angeles Lakers,47.5,-105,-115,Game 80,47,Under
Memphis Grizzlies,45.5,-115,-105,Game 57,27,Under
Miami Heat,45.5,-115,-105,Game 82,46,Over
Milwaukee Bucks,54.5,-120,100,Game 75,49,Under
Minnesota Timberwolves,44.5,-115,-105,Game 66,56,Over
New Orleans Pelicans,44.5,-105,-115,Game 73,49,Over
New York Knicks,45.5,100,-120,Game 78,50,Over
Oklahoma City Thunder,44.5,100,-120,Game 64,57,Over
Orlando Magic,37.5,-110,-110,Game 66,47,Over
Philadelphia 76ers,48.5,-110,-110,Game 73,47,Under
Phoenix Suns,51.5,-120,100,Game 74,49,Under
Portland Trail Blazers,28.5,-110,-110,Game 73,21,Under
Sacramento Kings,44.5,-115,-105,Game 78,46,Over
San Antonio Spurs,28.5,-120,100,Game 69,22,Under
Toronto Raptors,36.5,-105,-115,Game 69,25,Under
Utah Jazz,35.5,-130,110,Game 76,31,Under
Washington Wizards,24.5,-110,-110,Game 69,15,Under
