Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 14,Conf Odds as of Jun 24,Conf Odds as of Jul 12,Conf Odds as of Sep 27,Conf Odds as of Sep 28,Conf Odds as of Oct 2,Conf Odds as of Opening Night,Conf Odds as of Nov 1,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,3000,3500,3000,3300,3000,3000,3300,5000,4000,6600,10000.0,12500.0,25000.0,50000.0,,,,
Boston Celtics,190,160,190,200,225,200,175,170,150,125,140.0,110.0,100.0,-130.0,-200.0,-275.0,-900.0,** WINNER **
Brooklyn Nets,4000,5000,3000,4000,4000,4000,4000,5000,10000,15000,25000.0,50000.0,50000.0,50000.0,,,,
Charlotte Hornets,20000,20000,25000,20000,20000,20000,25000,25000,50000,50000,,,,,,,,
Chicago Bulls,5000,5000,6600,6600,6600,6600,6600,5000,8000,12500,20000.0,25000.0,25000.0,50000.0,,,,
Cleveland Cavaliers,1000,1100,900,900,900,900,900,900,1300,2200,2500.0,800.0,1000.0,1300.0,1600.0,2500.0,,
Detroit Pistons,20000,20000,25000,20000,20000,20000,25000,25000,50000,50000,,,,,,,,
Indiana Pacers,10000,10000,10000,12500,12500,12500,12500,6600,6600,3500,2200.0,3500.0,3000.0,6600.0,2500.0,1200.0,600.0,
Miami Heat,1000,700,425,425,1200,1200,1300,1300,1400,1800,1100.0,1800.0,1400.0,1600.0,2800.0,,,
Milwaukee Bucks,220,220,280,280,175,175,175,175,185,175,250.0,300.0,290.0,300.0,700.0,,,
New York Knicks,1600,2200,2200,2000,1800,1800,1800,1800,2200,2200,1100.0,700.0,850.0,1100.0,1200.0,325.0,,
Orlando Magic,10000,10000,10000,15000,15000,15000,12500,8000,5000,4000,8000.0,12500.0,10000.0,8000.0,6600.0,,,
Philadelphia 76ers,500,750,700,650,650,800,800,900,600,650,500.0,1400.0,1800.0,2000.0,650.0,,,
Toronto Raptors,3500,3500,4000,4000,4000,4000,5000,6600,10000,12500,25000.0,50000.0,50000.0,50000.0,,,,
Washington Wizards,10000,20000,25000,20000,20000,20000,25000,25000,50000,50000,,,,,,,,
Dallas Mavericks,1100,1400,1100,1300,1300,1300,1300,1200,1100,1200,1800.0,1600.0,1400.0,1400.0,700.0,375.0,155.0,** WINNER **
Denver Nuggets,260,225,240,240,240,240,250,275,240,180,190.0,225.0,250.0,150.0,145.0,115.0,,
Golden State Warriors,650,650,650,650,650,650,700,750,800,1600,3500.0,2000.0,1600.0,3000.0,,,,
Houston Rockets,10000,12500,15000,15000,15000,15000,15000,25000,8000,6600,15000.0,25000.0,25000.0,25000.0,,,,
Los Angeles Clippers,1100,1200,1000,1000,1000,1000,1000,700,1200,600,325.0,240.0,250.0,350.0,600.0,,,
Los Angeles Lakers,650,800,650,750,750,750,750,900,1000,800,1800.0,2000.0,1800.0,2500.0,1100.0,,,
Memphis Grizzlies,1400,1200,1400,1200,1200,1200,1200,1600,5000,5000,50000.0,,,,,,,
Minnesota Timberwolves,3500,3500,3500,4000,4000,4000,3300,3300,1300,900,800.0,825.0,850.0,1000.0,900.0,375.0,-175.0,
New Orleans Pelicans,1600,2200,2200,2200,2200,2200,2500,1800,2000,3500,2200.0,2500.0,3000.0,3000.0,4000.0,,,
Oklahoma City Thunder,6600,5000,5000,4000,4000,4000,4000,2800,2000,1100,850.0,825.0,800.0,600.0,650.0,300.0,,
Phoenix Suns,375,300,325,325,325,325,300,300,275,500,700.0,700.0,900.0,900.0,850.0,,,
Portland Trail Blazers,6600,6600,15000,12500,12500,12500,15000,25000,50000,20000,,,,,,,,
Sacramento Kings,1600,2000,2500,2500,2500,2500,2500,2500,2000,2200,2000.0,3000.0,3500.0,4000.0,,,,
San Antonio Spurs,8000,8000,12500,12500,12500,12500,15000,15000,30000,50000,,,,,,,,
Utah Jazz,12500,12500,12500,12500,12500,12500,15000,12500,30000,50000,25000.0,25000.0,25000.0,,,,,
