Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,42.5,-125,-105,Game 53,60,Over
Boston Celtics,27.0,-125,-105,Game 64,40,Over
Brooklyn Nets,41.5,-115,-115,Game 76,38,Under
Charlotte Hornets,45.0,-115,-115,Game 67,33,Under
Chicago Bulls,55.5,-115,-115,Game 67,50,Under
Cleveland Cavaliers,58.5,-115,-115,Game 61,53,Under
Dallas Mavericks,49.5,-115,-115,Game 82,50,Over
Denver Nuggets,42.0,-115,-115,Game 63,30,Under
Detroit Pistons,36.0,-125,-105,Game 76,32,Under
Golden State Warriors,52.5,-115,-115,Game 66,67,Over
Houston Rockets,49.0,-115,-115,Game 73,56,Over
Indiana Pacers,33.5,100,-130,Game 77,38,Over
Los Angeles Clippers,56.5,-115,-115,Game 75,56,Under
Los Angeles Lakers,29.0,-115,-115,Game 74,21,Under
Memphis Grizzlies,48.5,-115,-115,Game 70,55,Over
Miami Heat,44.0,-125,-105,Game 72,37,Under
Milwaukee Bucks,24.5,-115,-115,Game 47,41,Over
Minnesota Timberwolves,29.0,-115,-115,Game 69,16,Under
New Orleans Pelicans,43.0,-115,-115,Game 81,45,Over
New York Knicks,40.0,-115,-115,Game 53,17,Under
Oklahoma City Thunder,53.0,-110,-120,Game 67,45,Under
Orlando Magic,26.5,-115,-115,Game 81,25,Under
Philadelphia 76ers,16.0,-105,-125,Game 69,18,Over
Phoenix Suns,44.0,-105,-125,Game 78,39,Under
Portland Trail Blazers,49.0,-115,-115,Game 76,51,Over
Sacramento Kings,29.5,-115,-115,Game 80,29,Under
San Antonio Spurs,57.0,-115,-115,Game 70,55,Under
Toronto Raptors,48.5,-115,-115,Game 82,49,Over
Utah Jazz,27.0,-125,-105,Game 64,38,Over
Washington Wizards,48.5,-115,-115,Game 79,46,Under
