Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,36.5,-120,100,Game 78,40,Over
Boston Celtics,58.5,-105,-115,Game 79,61,Over
Brooklyn Nets,19.5,-110,-110,Game 54,26,Over
Charlotte Hornets,30.5,-115,-105,Game 70,19,Under
Chicago Bulls,28.5,-105,-115,Game 68,39,Over
Cleveland Cavaliers,48.5,-130,110,Game 59,64,Over
Dallas Mavericks,49.5,-120,100,Game 65,39,Under
Denver Nuggets,51.5,110,-130,Game 78,50,Under
Detroit Pistons,25.5,-125,105,Game 52,44,Over
Golden State Warriors,43.5,-125,105,Game 75,48,Over
Houston Rockets,43.5,-125,105,Game 69,52,Over
Indiana Pacers,46.5,-125,105,Game 78,50,Over
Los Angeles Clippers,35.5,-105,-115,Game 66,50,Over
Los Angeles Lakers,43.5,-115,-105,Game 68,50,Over
Memphis Grizzlies,47.5,100,-120,Game 82,48,Over
Miami Heat,44.5,-105,-115,Game 67,37,Under
Milwaukee Bucks,49.5,-105,-115,Game 73,48,Under
Minnesota Timberwolves,51.5,-110,-110,Game 71,49,Under
New Orleans Pelicans,46.5,105,-125,Game 48,21,Under
New York Knicks,53.5,-110,-110,Game 79,51,Under
Oklahoma City Thunder,57.5,-110,-110,Game 70,68,Over
Orlando Magic,47.5,-125,105,Game 64,41,Under
Philadelphia 76ers,50.5,-105,-115,Game 52,24,Under
Phoenix Suns,48.5,-120,100,Game 63,36,Under
Portland Trail Blazers,21.5,-105,-115,Game 51,36,Over
Sacramento Kings,46.5,-110,-110,Game 71,40,Under
San Antonio Spurs,35.5,-120,100,Game 79,34,Under
Toronto Raptors,29.5,-105,-115,Game 80,30,Over
Utah Jazz,28.5,100,-120,Game 69,17,Under
Washington Wizards,20.5,100,-120,Game 79,18,Under
